,SiteEnergyUse(kBtu),TotalGHGEmissions,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,proportion_SteamUse(kBtu),proportion_Electricity(kBtu),proportion_NaturalGas(kBtu)
0,7226362.5,249.98,Hotel,47.6122,-122.33799,1927,1.0,12,88434,0,60.0,0.277301616131214,0.546059929874816,0.1766383848028659
1,8387933.0,295.86,Hotel,47.61317,-122.33393,1996,1.0,11,88502,15064,61.0,0.0,0.38660907281925116,0.6133909271807488
2,72587024.0,2089.28,Hotel,47.61393,-122.3381,1969,1.0,41,759392,196718,43.0,0.29711307629859574,0.6823074052464253,0.020579435795576907
3,6794584.0,286.43,Hotel,47.61412,-122.33664,1926,1.0,10,61320,0,56.0,0.32591344076399675,0.40751928300540546,0.2665671658485641
4,14172606.0,505.01,Hotel,47.61375,-122.34047,1980,1.0,18,113580,62000,75.0,0.0,0.3788016826263286,0.6211982468150177
6,5758795.0,176.14,Hotel,47.6139,-122.33283,1926,1.0,11,83008,0,27.0,0.0,0.4881602835315374,0.5118397164684626
8,13723820.0,392.16,Hotel,47.60294,-122.33263,1904,1.0,15,163984,0,43.0,0.0,0.5317702359838588,0.4682296911501317
10,16016644.0,691.26,Hotel,47.60695,-122.33414,1969,1.0,11,133884,19279,30.0,0.32698269999632884,0.386324813113159,0.2866923932379342
11,26941110.0,740.97,Hotel,47.60713,-122.33323,1998,1.0,25,272015,61161,36.0,0.22268423609866111,0.6712065315794338,0.10610921376290731
12,6596057.5,328.23,Hotel,47.60699,-122.33346,1928,1.0,9,65009,0,48.0,0.2511125016724005,0.2036064725027033,0.5452810258248961
13,22325364.0,648.62,Hotel,47.60809,-122.33212,1980,1.0,33,258352,57600,58.0,0.19429642894064347,0.6227975946999117,0.18290586437918774
14,10750010.0,511.39,Hotel,47.60755,-122.33244,1922,1.0,11,66990,25200,35.0,0.4531016715333288,0.3564991102333858,0.19039917172170073
17,33556756.0,802.89,Hotel,47.60681,-122.33078,1983,1.0,28,331281,85000,31.0,0.0,0.6325187392964922,0.3674811415024742
19,10154608.0,349.32,Hotel,47.60376,-122.33194,1916,1.0,10,104352,0,39.0,0.33786257431109107,0.5818412685157319,0.08029615717317695
20,44984468.0,1265.29,Other,47.60265,-122.33051,1916,1.0,10,540360,0,76.0,0.0,0.5414720698708719,0.45852784120954815
23,3663534.5,90.01,Hotel,47.65959,-122.31755,2001,1.0,6,58006,30586,84.0,0.0,0.6185914176596399,0.3814084458601386
27,11061916.0,328.63,Hotel,47.61784,-122.32966,2001,1.0,10,133585,38281,57.0,0.0,0.507209239339731,0.492790760660269
29,4456714.5,128.44,Hotel,47.61558,-122.34186,1978,1.0,5,52210,16200,57.0,0.0,0.5264750524180986,0.4735248353916321
33,6668568.5,215.0,Hotel,47.66583,-122.29965,1994,1.0,4,81871,0,29.0,0.0,0.45233081132779845,0.5476691136935911
39,6186461.5,130.56,Small- and Mid-Sized Office,47.66587,-122.38476,1961,1.0,2,94900,0,57.0,0.0,0.6937059254308784,0.30629399374747585
40,2951331.25,83.86,Small- and Mid-Sized Office,47.58034,-122.31132,1900,1.0,2,52554,0,83.0,0.0,0.5352665852062523,0.4647333300862111
41,6994740.5,247.85,K-12 School,47.68891,-122.33553,1954,1.0,3,175015,0,95.0,0.0,0.3831077078556381,0.6168922206620817
43,16163194.0,295.33,Hotel,47.60946,-122.33337,1969,1.0,24,126240,205970,67.0,0.0,0.7550739043285628,0.2449260338024774
44,9536161.0,66.48,Large Office,47.6113,-122.33659,1973,1.0,5,168115,0,78.0,0.0,0.9999998951359986,0.0
46,5071974.0,35.36,Small- and Mid-Sized Office,47.61048,-122.33794,1910,1.0,8,59400,0,14.0,0.0,0.9999998028381061,0.0
48,4841347.5,59.19,Hotel,47.61233,-122.33432,1930,1.0,20,88591,10043,71.0,0.0,0.8861291200435416,0.11387077667942655
49,80469216.0,2451.58,Hotel,47.61087,-122.33339,1982,1.0,34,847518,146694,63.0,0.1441381757714652,0.5659994127443717,0.2898622996401506
50,5348309.0,134.38,Hotel,47.60997,-122.34138,1985,1.0,7,71150,0,98.0,0.0,0.606528156843593,0.3934716561814211
51,5401277.5,227.18,Hotel,47.61155,-122.34114,1908,1.0,7,122810,0,99.0,0.0,0.2394916758118797,0.7605082316174275
52,5284343.5,144.79,Hotel,47.61986,-122.34413,1959,1.0,5,70627,42546,86.0,0.0,0.5572461366298387,0.4427537687510284
53,6715187.0,199.95,Hotel,47.62001,-122.34274,2000,1.0,7,115718,34735,84.0,0.0,0.5057355811535852,0.49426441884641487
54,5827595.5,162.39,Hotel,47.62025,-122.34314,1997,1.0,6,88100,28200,80.0,0.0,0.547130802060644,0.4528691121406762
55,6836900.0,152.76,Hotel,47.62023,-122.35951,1998,1.0,6,118858,36744,81.0,0.0,0.666813468092264,0.3331863856426158
56,3234787.75,146.34,K-12 School,47.63442,-122.30793,1911,1.0,3,56072,0,76.0,0.0,0.17060377454440404,0.8293959936011258
57,5337334.0,171.64,Hotel,47.62519,-122.34456,1999,1.0,4,78051,44891,94.0,0.0,0.454108736683895,0.545891263316105
58,3375211.0,87.98,Small- and Mid-Sized Office,47.60823,-122.30956,1962,1.0,2,54984,0,71.0,0.0,0.5861055797696796,0.4138944202303204
59,42792072.0,1727.11,Senior Care Community,47.55837,-122.37751,1922,1.0,5,217603,0,54.0,0.0,0.27633090540696414,0.7236690945930359
60,16402563.0,609.1,Senior Care Community,47.72426,-122.35599,1970,1.0,2,93397,0,1.0,0.0,0.3462567404862277,0.6537431985476904
61,3706100.25,67.06,Hotel,47.61988,-122.33211,2008,1.0,6,63371,20732,74.0,0.0,0.7589346780352204,0.24106525450842836
64,7258758.5,262.75,Hotel,47.60898,-122.32693,1908,1.0,7,76631,0,71.0,0.0,0.3665560715375777,0.6334438595801196
